id,name,light,number,address,activate,no_available,total_bases,dock_bikes,free_bases,reservations_count,geometry_type,geometry_coordinates
142,General Perón 1,0,152,Avenida del General Perón frente al nº 4,1,0,24,7,16,0,Point,"[-3.6990077, 40.4527164]"
143,General Perón con Poeta Joan Maragall,1,153,Avenida del General Perón frente al nº 36,1,0,24,18,5,0,Point,"[-3.693085, 40.4522454]"
144,Serrano 210,2,148,Calle Serrano nº 210,1,0,24,9,15,0,Point,"[-3.6817962, 40.4510188]"
145,Orense 12,2,151,Calle Orense nº 12,1,0,24,13,8,0,Point,"[-3.6952943, 40.4489101]"
146,Paseo de la Habana 42,2,149,Paseo de la Habana nº 42,1,0,24,10,14,0,Point,"[-3.6881689, 40.4498613]"
147,Castellana frente a Hermanos Pinzón,2,150,Paseo de la Castellana nº 122,1,0,24,13,7,0,Point,"[-3.6905604, 40.4488924]"
148,Doctor Arce 45,2,147,Avenida del Doctor Arce nº 45,1,0,24,9,15,0,Point,"[-3.6797296, 40.4483269]"
149,Glorieta de los Cuatro Caminos,0,132,Calle Santa Engracia nº 168,1,0,24,3,17,0,Point,"[-3.7036675, 40.4463667]"
150,Raimundo Fernández,2,133,Calle Raimundo Fernández Villaverde nº 33,1,0,24,9,14,0,Point,"[-3.7001669, 40.447125]"
151,Castellana 106,1,136,Paseo de la Castellana nº 106,1,0,24,19,3,0,Point,"[-3.690861, 40.4453307]"
152,Plaza de la República Argentina,2,137,Plaza de la República Argentina nº 6,1,0,24,12,11,0,Point,"[-3.6853312, 40.445411]"
153,Agustín de Betancourt,0,134,Calle María de Guzmán nº 58,1,0,24,5,18,0,Point,"[-3.6956047, 40.4440297]"
154,Paseo de la Castellana con Raimundo Fernández,2,138,Paseo de la Castellana esquina calle Raimundo Fernández Villaverde,1,0,24,12,10,0,Point,"[-3.6917932, 40.4457414]"
155,María Francisca 1,0,146,Calle María Francisca nº 1,1,0,18,2,15,0,Point,"[-3.6787169, 40.4442258]"
156,Bravo Murillo 44,2,131,Calle Bravo Murillo nº 44,1,0,24,10,14,0,Point,"[-3.7040344, 40.4418402]"
157,Santa Engracia 127,2,130,Calle Santa Engracia nº 127,1,0,20,6,12,0,Point,"[-3.70164, 40.44156]"
158,Plaza de San Juan de la Cruz,2,135,Plaza de San Juan de la Cruz nº 11,1,0,24,11,13,0,Point,"[-3.6927821, 40.4415974]"
159,"José Gutiérrez Abascal ",2,139,Calle José Gutiérrez Abascal nº 2,1,0,24,12,8,0,Point,"[-3.6907784, 40.4396792]"
160,Cea Bermúdez,0,128,Calle Cea Bermúdez nº 59,1,0,27,1,24,0,Point,"[-3.7154329, 40.438994]"
161,José Abascal,2,129,Calle José Abascal nº 33,1,0,24,11,13,0,Point,"[-3.6982353, 40.4383865]"
162,Velázquez 130,2,140,Calle Velázquez nº 130,1,0,27,17,10,0,Point,"[-3.6831578, 40.4385127]"
163,General Álvarez de Castro,1,126,Calle del General Álvarez de Castro nº 1,1,0,24,15,6,0,Point,"[-3.7015686, 40.4344731]"
164,"General Martínez Campos ",0,125,Calle Fernández de la Hoz nº 29,1,0,24,0,20,0,Point,"[-3.6948626, 40.435285]"
165,Paseo de la Castellana - Glorieta de Emilio Castelar,2,141,Paseo de la Castellana nº 43,1,0,12,4,8,0,Point,"[-3.6892368, 40.4355143]"
166,Diego de León 52,2,143,Calle Diego de León nº 52,1,0,24,13,10,0,Point,"[-3.678492, 40.4345973]"
167,Castellana 42,2,142,Paseo de la Castellana nº 42,1,0,24,8,15,0,Point,"[-3.6879154, 40.4334087]"
168,Fernando el Católico,1,127,Calle Fernando el Católico nº 19,1,0,24,18,4,0,Point,"[-3.708439, 40.4338516]"
169,Manuel Silvela,2,124,Calle Manuel Silvela nº 20,1,0,24,10,13,0,Point,"[-3.6993465, 40.4309524]"
170,Juan Bravo 50,0,144,Calle Juan Bravo nº 50,1,0,24,6,18,0,Point,"[-3.6758555, 40.4323655]"
171,Ortega y Gasset 87,2,145,Calle Ortega y Gasset nº 87,1,0,24,16,7,0,Point,"[-3.6712823, 40.429887]"
172,Colombia,0,160,Calle Colombia nº 7,1,0,24,2,20,1,Point,"[-3.6763439, 40.4572466]"
173,Paseo de la Habana 63,2,159,Paseo de la Habana nº 63,1,0,24,8,15,0,Point,"[-3.6835926, 40.4543852]"
174,Segovia 26,2,166,Calle Segovia nº 26,1,0,24,8,15,0,Point,"[-3.7135833, 40.4138333]"
175,Segovia 45,2,167,Calle Segovia nº 45,1,0,24,11,12,0,Point,"[-3.717487, 40.413736]"
176,Batalla del Salado,2,168,Paseo Santa María de la Cabeza nº 29,1,0,24,9,13,0,Point,"[-3.6959166, 40.4044722]"
177,Pirámides,2,169,Calle Toledo nº 181,1,0,24,8,11,0,Point,"[-3.7138055, 40.4016111]"
178,Paseo de la Esperanza,2,170,Paseo de la Esperanza nº 21,1,0,24,16,7,0,Point,"[-3.7043611, 40.401]"
179,Embajadores-Cáceres,2,171,Calle Embajadores nº 101,1,0,24,14,9,0,Point,"[-3.6983888, 40.39975]"
180,Delicias,0,172,Calle Bustamante nº 1,1,0,24,6,17,0,Point,"[-3.6935833, 40.4008888]"
181,Puente Praga,0,173,Paseo de la Esperanza nº 59,1,0,24,4,20,0,Point,"[-3.7023918, 40.3981798]"
182,Madrid Río-Yeserías,0,174,Paseo de Yeserías nº 45,1,0,27,7,19,0,Point,"[-3.7065277, 40.3974444]"
183,Jaime el Conquistador,2,175,Calle Jaime el Conquistador nº 30,1,0,21,12,8,0,Point,"[-3.6983055, 40.3962222]"
184,Beata,2,176,Calle Alicante nº 3,1,0,24,16,7,0,Point,"[-3.6937222, 40.39425]"
185,Legazpi,2,177,Calle Bolívar nº 3,1,0,24,12,12,0,Point,"[-3.6941944, 40.3914722]"
186,Junta Municipal Retiro,0,178,Calle León Gil de Palacio nº 3,1,0,24,5,19,0,Point,"[-3.6788343, 40.4029202]"
187,Puente de Vallecas,2,179,Avenida de la Albufera nº 6,1,0,24,10,12,0,Point,"[-3.66925, 40.3979722]"
188,Méndez Álvaro,2,180,Calle Retama nº 5,1,0,24,8,14,0,Point,"[-3.6758888, 40.3941388]"
189,Retiro-Ibiza,1,181,Calle Ibiza nº 18,1,0,27,18,6,0,Point,"[-3.6766111, 40.41825]"
190,Parque Roma,0,182,Calle Alcalde Sáinz de Baranda frente al nº 107,1,0,24,5,15,0,Point,"[-3.6657777, 40.4186666]"
191,Doctor Esquerdo-Hermosilla,0,183,Calle Hermosilla nº 135,1,0,24,2,21,0,Point,"[-3.669339, 40.425635]"
192,Marqués de Zafra,2,184,Paseo Marqués de Zafra nº 24,1,0,24,7,15,0,Point,"[-3.6653055, 40.426]"
193,Quinta Fuente del Berro,2,185,Calle Sancho Dávila esquina Paseo Marqués de Zafra,1,0,24,9,13,0,Point,"[-3.6615277, 40.4250833]"
194,General Pardiñas,0,186,Calle General Pardiñas nº 56,1,0,24,5,18,0,Point,"[-3.6782777, 40.4290555]"
195,Alcalá-Ventas,2,187,Calle Alejandro González nº 1,1,0,24,9,14,0,Point,"[-3.6638888, 40.4301666]"
196,Puente de Ventas,0,188,Avenida de Daroca nº 2,1,0,27,7,19,0,Point,"[-3.6590555, 40.4311944]"
197,Avenida Donostiarra,2,189,Calle Virgen de la Alegría nº 18,1,0,24,13,11,0,Point,"[-3.6554918, 40.4351256]"
198,Velázquez-Diego de León,2,190,Calle Velázquez nº 91,1,0,24,16,7,0,Point,"[-3.6835833, 40.4343333]"
199,Diego de león,2,191,Calle Alonso Heredia nº 1,1,0,18,5,11,0,Point,"[-3.674, 40.4346388]"
200,Avenida de los Toreros,2,192,Avenida de los Toreros nº 3,1,0,27,17,9,0,Point,"[-3.6714166, 40.4318611]"
201,Ventas,0,193,Avenida de los Toreros nº 49,1,0,27,7,17,0,Point,"[-3.6655555, 40.4324722]"
202,Avenida de América 2,0,194,Calle Francisco Silvela nº 86,1,0,24,5,17,0,Point,"[-3.6772222, 40.43725]"
203,Avenida de América 1,0,195,Calle Padre Indalecio Hernández nº 1,1,0,24,2,22,0,Point,"[-3.6754444, 40.4392222]"
204,Prosperidad,2,196,Calle Suero de Quiñones nº 2,1,0,24,10,10,0,Point,"[-3.6751388, 40.4441388]"
205,Parque Berlín,0,197,Avenida de Concha Espina nº 34,1,0,24,7,17,0,Point,"[-3.6780555, 40.4515833]"
206,Rubén Darío,2,198,Glorieta Rubén Darío 2,1,0,24,9,14,0,Point,"[-3.6915555, 40.4331111]"
207,Fernando el Católico,2,199,Calle Fernando el Católico nº 61,1,0,27,13,13,0,Point,"[-3.7149166, 40.4343611]"
208,Quevedo,1,200,Glorieta de Quevedo nº 5,1,0,24,18,5,0,Point,"[-3.7046666, 40.4336944]"
209,Canal,2,201,Calle José Abascal frente al nº 2,1,0,24,12,11,0,Point,"[-3.7038333, 40.4386944]"
210,Parque Santander,2,202,Calle Santander esquina con Avenida de Filipinas,1,0,24,15,7,0,Point,"[-3.7080833, 40.4411388]"
211,San Francisco de Sales,0,203,Calle General Ampudia nº 2,1,0,24,4,19,0,Point,"[-3.7144722, 40.44175]"
212,Cuatro Caminos 2,0,204,Calle Doctor Santero nº 1,1,0,24,2,20,0,Point,"[-3.7041666, 40.4476666]"
213,Estrecho,0,205,Calle Navarra nº 1,1,0,24,5,18,0,Point,"[-3.7032777, 40.4535]"
214,Metro Tetuán,2,206,Calle Marqués de Viana nº 3,1,0,24,16,7,0,Point,"[-3.6989925, 40.4607502]"
215,Remonta,0,207,Calle Azucenas nº 1,1,0,18,2,15,0,Point,"[-3.6973333, 40.4630277]"
216,Plaza de Castilla,2,208,Paseo de la Castellana nº 216,1,0,24,11,12,0,Point,"[-3.6886388, 40.4663611]"
217,Plaza de Castilla 2,1,209,Paseo Castellana (Fundación Canal),1,0,24,18,4,0,Point,"[-3.6887722, 40.4656779]"
218,Tres Cruces,0,210,Calle Tres Cruces nº 7,1,0,27,7,19,0,Point,"[-3.7026735, 40.419674]"
219,Desengaño,2,211,Calle Desengaño nº 1,1,0,24,10,8,0,Point,"[-3.70239, 40.42059]"
220,Marqués de Vadillo,2,212,Glorieta Marqués de Vadillo nº 9,1,0,24,12,10,1,Point,"[-3.716591, 40.398247]"
221,Glorieta de Cádiz,0,213,Calle Antonio López nº 129,1,0,24,7,16,0,Point,"[-3.70017, 40.38895]"
222,Condesa de Venadito,2,214,Calle Condesa de Venadito nº 2,1,0,24,13,10,0,Point,"[-3.65741, 40.44315]"
223,Gutierre de Cetina,1,215,Calle Gutierre de Cetina nº 77,1,0,24,18,5,0,Point,"[-3.640994, 40.429706]"
224,Puerta del Ángel,2,216,Plaza Puerta del Ángel nº 4,1,0,24,16,7,0,Point,"[-3.728318, 40.413764]"
225,Pedro Rico,2,217,Calle Pedro Rico nº 4,1,0,24,13,10,0,Point,"[-3.688463, 40.481086]"
226,Camino Vinateros,0,218,Calle Camino de los Vinateros nº 28,1,0,24,3,20,0,Point,"[-3.65779, 40.41053]"
227,Marroquina,2,219,Calle Camino de los Vinateros nº 108,1,0,24,10,13,0,Point,"[-3.646697, 40.408264]"
228,Plaza del Encuentro,2,220,Calle Arroyo de las Pilillas nº 6,1,0,24,12,11,0,Point,"[-3.65122, 40.40617]"
229,Pavones,2,221,Calle Hacienda de Pavones nº 342,1,0,24,8,14,0,Point,"[-3.634587, 40.400368]"
230,Antonio López,2,222,Calle Eugenio Caxes frente al nº 12,1,0,24,9,12,1,Point,"[-3.7026789, 40.3917871]"
231,Ermita Santo,2,223,Paseo de la Ermita del Santo nº 48,1,0,24,13,8,0,Point,"[-3.7244893989507686, 40.406837862773465]"
232,Caramuel,2,224,Calle Caramuel nº 51,1,0,24,14,9,0,Point,"[-3.728533714316331, 40.40913630273305]"
233,Doctor Lozano,2,225,Calle Sierra Toledana nº 33,1,0,24,9,13,0,Point,"[-3.660188083470652, 40.40248333540473]"
234,Sierra Toledana,2,226,Camino de Valderribas nº 94,1,0,24,10,14,0,Point,"[-3.6607768678037744, 40.39901531507069]"
235,San Delfín,1,228,Calle San Delfín nº 9,1,0,24,17,7,0,Point,"[-3.7080429728445563, 40.39440607959559]"
236,Concordia,0,227,Calle Arroyo del Olivar nº 6,1,0,24,6,16,0,Point,"[-3.6659362429356372, 40.39382977920336]"
237,C.D. Concepción,0,229,Calle Jose del Hierro nº 5,1,0,24,3,20,0,Point,"[-3.64835857929032, 40.43715089959262]"
238,Carlota O’Neill,0,230,Calle Carlota O'Neill nº 32,1,0,24,1,22,0,Point,"[-3.648958444298144, 40.44370542379883]"
239,Derechos Humanos,2,231,Calle Derechos Humanos nº 12,1,0,24,9,15,0,Point,"[-3.6557656204708775, 40.43965673033275]"
240,José María Pereda,2,232,Calle José María de Pereda nº 1,1,0,24,11,11,0,Point,"[-3.6485306152875148, 40.43272086245887]"
241,Marqués de Corbera 12,2,233,Avenida Marqués de Corbera nº 12,1,0,24,8,16,0,Point,"[-3.6555552857442697, 40.422962108947424]"
242,Marqués de Corbera 52,2,234,Avenida Marqués de Corbera nº 52,1,0,24,14,9,0,Point,"[-3.651034981803642, 40.426207143200884]"
243,Embajadores 191,0,235,Calle Sodio nº 1B,1,0,24,6,15,0,Point,"[-3.6903589643353483, 40.389258643579105]"
244,Paseo Imperial,2,236,Paseo Imperial nº 20,1,0,24,10,14,0,Point,"[-3.7172213778842007, 40.40765396169372]"
245,Pablo Iglesias,0,237,Calle Francisco Balseiro nº 1,1,0,24,3,15,0,Point,"[-3.710525, 40.451333]"
246,San Germán 5,2,238,Calle San Germán nº 5,1,0,24,12,11,0,Point,"[-3.6929376751795306, 40.45619382579544]"
247,Francos Rodríguez,0,239,Calle Francos Rodríguez nº 62,1,0,24,2,20,1,Point,"[-3.708002730875242, 40.45673408797698]"
248,Avenida Brasilia,2,240,Avenida de Brasilia frente al nº 9,1,0,24,13,10,0,Point,"[-3.66096, 40.43666]"
249,Camilo José Cela,0,241,Avenida de Camilo José Cela nº 23,1,0,24,4,20,0,Point,"[-3.66779, 40.4378]"
250,Avenida Bruselas,0,242,Avenida Bruselas nº 56,1,0,24,5,15,0,Point,"[-3.66301, 40.43865]"
251,Cartagena,2,243,Calle Cartagena nº 34,1,0,24,7,14,1,Point,"[-3.67012, 40.43503]"
252,Hospital Clínico,0,244,Calle Isaac Peral nº 44,1,0,24,6,18,0,Point,"[-3.71757, 40.44003]"
253,Galileo,0,245,Calle Galileo nº 63,1,0,24,6,15,0,Point,"[-3.71019, 40.4364]"
254,Santa Engracia 87,2,246,Calle Santa Engracia nº 87,1,0,24,13,10,0,Point,"[-3.69928, 40.43604]"
256,Torre Cepsa,2,248,Calle Sinesio Delgado nº 2,1,0,24,14,9,0,Point,"[-3.68797, 40.47435]"
257,Manuel Caldeiro,2,249,Paseo de la Castellana nº 298,1,0,24,16,7,0,Point,"[-3.68532, 40.47938]"
258,Serrano 113,2,250,Calle Serrano nº 113B,1,0,24,16,7,0,Point,"[-3.68609, 40.44106]"
259,Corazón de María,0,251,Calle Santa Hortensia nº 31,1,0,24,6,16,0,Point,"[-3.66683, 40.44421]"
260,Chamartín,2,252,Calle Rodríguez Jaén nº 40,1,0,24,7,15,0,Point,"[-3.68391, 40.4716]"
261,Doctor Fleming,2,253,Calle Doctor Fleming nº 7,1,0,21,11,9,0,Point,"[-3.68844, 40.45546]"
262,Pío XII,2,254,Avenida Pío XII nº 3,1,0,24,11,12,0,Point,"[-3.67712, 40.46041]"
263,López Pozas,2,255,Calle General López Pozas nº 2,1,0,24,7,15,0,Point,"[-3.68514, 40.46361]"
264,Reina Victoria,0,256,Calle Beatriz de Bobadilla frente al nº 2,1,0,24,1,21,0,Point,"[-3.71383, 40.44635]"
265,INEF,2,257,Avenida Juan de Herrera frente a la calle Paul Guinard,1,0,24,14,9,0,Point,"[-3.72997, 40.43896]"
266,Ciudad Universitaria 1,0,258,Avenida de la Complutense (Metro Ciudad Universitaria),1,0,24,0,24,0,Point,"[-3.72699, 40.44375]"
267,Ciudad Universitaria 2,2,259,Avenida de la Complutense (Metro Ciudad Universitaria),1,0,24,12,12,0,Point,"[-3.72693, 40.44342]"
268,Facultad Biología,2,260,Calle José Antonio Novais frente al nº 12,1,0,24,9,14,0,Point,"[-3.7272945, 40.4483322]"
269,Facultad Derecho,0,261,Avenida Complutense nº 23,1,0,24,5,18,0,Point,"[-3.72937, 40.45109]"
270,Zurbano,0,247,Calle Zurbano nº 90,1,0,24,6,15,0,Point,"[-3.69281, 40.43837]"
